Municipio,Casos Confirmados
VILA VELHA,5633
SERRA,4637
VITORIA,4619
CARIACICA,3450
LINHARES,2316
COLATINA,1993
CACHOEIRO DE ITAPEMIRIM,1775
ARACRUZ,1154
GUARAPARI,1030
SAO MATEUS,568
VIANA,560
SAO GABRIEL DA PALHA,408
NOVA VENECIA,407
CASTELO,398
MARATAIZES,342
IUNA,329
PRESIDENTE KENNEDY,311
AFONSO CLAUDIO,297
ITAPEMIRIM,287
VENDA NOVA DO IMIGRANTE,284
MARECHAL FLORIANO,272
SOORETAMA,243
MIMOSO DO SUL,214
BREJETUBA,193
ANCHIETA,192
RIO NOVO DO SUL,191
DOMINGOS MARTINS,190
MARILANDIA,175
JAGUARE,162
ICONHA,161
IBATIBA,159
IBIRACU,158
BAIXO GUANDU,149
PEDRO CANARIO,145
PINHEIROS,141
SANTA MARIA DE JETIBA,139
ALEGRE,139
PIUMA,139
PANCAS,131
ATILIO VIVACQUA,129
GUACUI,122
FUNDAO,120
BARRA DE SAO FRANCISCO,118
SAO JOSE DO CALCADO,115
VARGEM ALTA,113
ECOPORANGA,109
VILA VALERIO,106
MUQUI,98
SAO DOMINGOS DO NORTE,97
JOAO NEIVA,96
BOA ESPERANCA,95
SANTA TERESA,91
AGUIA BRANCA,89
MANTENOPOLIS,85
ALFREDO CHAVES,83
SANTA LEOPOLDINA,80
MUNIZ FREIRE,78
JERONIMO MONTEIRO,77
CONCEICAO DA BARRA,75
CONCEICAO DO CASTELO,73
BOM JESUS DO NORTE,72
RIO BANANAL,70
IRUPI,67
DIVINO DE SAO LOURENCO,67
MONTANHA,66
ALTO RIO NOVO,61
GOVERNADOR LINDENBERG,60
SAO ROQUE DO CANAA,44
AGUA DOCE DO NORTE,38
RIO DE JANEIRO,38
APIACA,34
DORES DO RIO PRETO,31
LARANJA DA TERRA,30
ITAGUACU,28
ITARANA,24
MACAE,22
PONTO BELO,21
VILA PAVAO,19
AIMORES,18
IBITIRAMA,15
CAMPOS DOS GOYTACAZES,9
BELO HORIZONTE,9
MUCURICI,8
SAO PAULO,7
TEIXEIRA DE FREITAS,5
MANTENA,5
BOM JESUS DO ITABAPOANA,4
NOVA IGUACU,4
MANHUACU,4
TUCURUI,3
GOVERNADOR VALADARES,3
ALTAMIRA,3
MUTUM,3
COLOMBO,2
NITEROI,2
CURITIBA,2
SANTA CRUZ CABRALIA,2
PRADO,2
CARAVELAS,2
CAIANA,2
BURITIS,2
SAO GONCALO,2
DUQUE DE CAXIAS,2
CONSELHEIRO PENA,2
MOGI DAS CRUZES,2
MUCURI,1
LAJINHA,1
BOM SUCESSO,1
SAO LUIS,1
BRASILIA,1
SAO JOAO DO MANTENINHA,1
SAO JOAO DE MERITI,1
JUAZEIRO DO NORTE,1
SAO FRANCISCO DE ITABAPOANA,1
IPATINGA,1
SAO FIDELIS,1
CABO FRIO,1
SANTOS,1
IPANEMA,1
SANTA RITA,1
JOINVILLE,1
BOA VISTA,1
LIMEIRA,1
BELO ORIENTE,1
SOROCABA,1
TANGUA,1
JOAO ALFREDO,1
ITABIRA,1
UBERABA,1
JEQUERI,1
VASSOURAS,1
BELEM,1
BARAO DE COCAIS,1
ITABORAI,1
ITABUNA,1
ALAGOINHAS,1
ITUETA,1
CAMPINAS,1
INDIANA,1
MULITERNO,1
PINHEIRO,1
ENTRE RIOS,1
FEIRA DE SANTANA,1
MURIAE,1
NANUQUE,1
GOIANIA,1
NOVA ERA,1
NOVA FRIBURGO,1
MAUA,1
MARICA,1
OSASCO,1
PACAEMBU,1
CRUZ DAS ALMAS,1
PARAUAPEBAS,1
CONTAGEM,1
ITAPERUNA,1
SANTA CRUZ,1
PIO IX,1
GUARULHOS,1
ILHEUS,1
PORTO VELHO,1
MANGARATIBA,1
CATU,1
PRESIDENTE PRUDENTE,1
CARLOS CHAGAS,1
RIO DAS OSTRAS,1
MAGE,1
CANDEIAS,1
SABARA,1
SALGUEIRO,1
SALVADOR,1
VOTUPORANGA,1
